task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2568	27/c4f252	772593	InvokePreparePlotData (2567)	COMPLETED	0	2025-02-07 20:43:35.501	46m 23s	45m 35s	97.2%	692.7 MB	1.1 GB	2.9 GB	52.4 KB
2793	3b/afb0ec	772874	InvokePreparePlotData (2792)	COMPLETED	0	2025-02-07 20:44:32.403	45m 26s	44m 22s	95.8%	663.6 MB	1 GB	1.9 GB	52 KB
2804	a5/db5e87	772905	InvokePreparePlotData (2803)	COMPLETED	0	2025-02-07 20:44:37.771	45m 20s	44m 30s	95.4%	503.9 MB	896.2 MB	18.9 GB	40.9 KB
3100	1d/8874dd	773221	InvokePreparePlotData (3099)	COMPLETED	0	2025-02-07 20:45:50.998	44m 7s	43m 53s	95.1%	546.9 MB	892.7 MB	3.1 GB	41.1 KB
3346	69/c7b5b0	773572	InvokePreparePlotData (3345)	COMPLETED	0	2025-02-07 20:47:03.671	42m 55s	40m 46s	96.0%	562.1 MB	941.4 MB	1 GB	66.4 KB
3388	8b/cff313	773667	InvokePreparePlotData (3387)	COMPLETED	0	2025-02-07 20:47:19.819	42m 38s	38m 4s	95.3%	510.1 MB	908.6 MB	1.4 GB	37.9 KB
3735	de/5e4c43	774078	InvokePreparePlotData (3734)	COMPLETED	0	2025-02-07 20:48:50.565	41m 8s	40m 21s	95.9%	644.5 MB	989.1 MB	1.3 GB	73.3 KB
4672	b8/c01a17	775321	InvokePreparePlotData (4671)	COMPLETED	0	2025-02-07 20:53:08.484	36m 50s	36m	96.7%	586.2 MB	968.7 MB	1.7 GB	120.6 KB
4746	df/597c0a	775419	InvokePreparePlotData (4745)	COMPLETED	0	2025-02-07 20:53:28.466	36m 30s	34m 46s	95.5%	607.1 MB	972.4 MB	2.5 GB	65 KB
3265	96/37c55e	776349	InvokePreparePlotData (3264)	COMPLETED	0	2025-02-07 20:56:48.655	33m 10s	31m 39s	96.6%	670.2 MB	1 GB	1.9 GB	54.7 KB
3715	12/1b2a0c	776696	InvokePreparePlotData (3714)	COMPLETED	0	2025-02-07 20:58:02.841	31m 55s	30m 58s	96.7%	530.9 MB	899.2 MB	1.8 GB	79.4 KB
3759	67/fc5e76	776756	InvokePreparePlotData (3758)	COMPLETED	0	2025-02-07 20:58:19.898	31m 38s	30m 41s	95.4%	489.3 MB	860.2 MB	605 MB	52.5 KB
